Id,IdSentenca,DataCriacao,Resultado,Transacao,Consulta,IdHistoricoSentencaPai,IdRegra,NomeRegra,DescricaoSentenca
515557943,1636,2021-02-18 16:12:47.257,FALSE,A06A7D89-E79D-43FD-99FE-584EC0B258BE,BRE/DOCS/DOC/TIPODOCREDUZIDO  NOVACEDULA Igual NFACESSORIOSSERV?,NULL,304,Formalização,TRADUZIR TIPO DOCUMENTO - NF Acessório de Serviço
515557942,1624,2021-02-18 16:12:47.240,FALSE,A06A7D89-E79D-43FD-99FE-584EC0B258BE,BRE/DOCS/DOC/TIPODOCREDUZIDO  NOVACEDULA Igual SEGUROAUTO?,NULL,304,Formalização,TRADUZIR TIPO DOCUMENTO - SEGUROAUTO
515557941,1419,2021-02-18 16:12:47.223,FALSE,A06A7D89-E79D-43FD-99FE-584EC0B258BE,BRE/DOCS/DOC/TIPODOCREDUZIDO  NOVACEDULA Igual DOCBIN?,NULL,304,Formalização,TRADUZIR TIPO DOCUMENTO - DOCUMENTO BIN
515557940,1359,2021-02-18 16:12:47.207,FALSE,A06A7D89-E79D-43FD-99FE-584EC0B258BE,BRE/DOCS/DOC/TIPODOCREDUZIDO  NOVACEDULA Igual ADITMIT?,NULL,304,Formalização,TRADUZIR TIPO REDUZIDO - ADITAMENTO CCB MITSUBISHI
515557939,1287,2021-02-18 16:12:47.193,FALSE,A06A7D89-E79D-43FD-99FE-584EC0B258BE,BRE/DOCS/DOC/TIPODOCREDUZIDO  NOVACEDULA Igual LAUDODEVISTORIA?,NULL,304,Formalização,TRADUZIR TIPO REDUZIDO - LAUDO DE VISTORIA
515557938,1254,2021-02-18 16:12:47.177,FALSE,A06A7D89-E79D-43FD-99FE-584EC0B258BE,BRE/DOCS/DOC/TIPODOCREDUZIDO  NOVACEDULA Igual CERTCASE?,NULL,304,Formalização,TRADUZIR TIPO REDUZIDO - CERTIDAO CASAMENTO
515557937,1150,2021-02-18 16:12:47.147,FALSE,A06A7D89-E79D-43FD-99FE-584EC0B258BE,BRE/DOCS/DOC/TIPODOCREDUZIDO  NOVACEDULA Igual TERMOACESSORIOS?,NULL,304,Formalização,TRADUZIR TIPO REDUZIDO - TERMO DE ACESSORIO
515557936,1147,2021-02-18 16:12:47.130,FALSE,A06A7D89-E79D-43FD-99FE-584EC0B258BE,BRE/DOCS/DOC/TIPODOCREDUZIDO  NOVACEDULA Igual NFACESSORIOS?,NULL,304,Formalização,TRADUZIR TIPO REDUZIDO - NF / TERMO DE ACESSORIO
515557935,1146,2021-02-18 16:12:47.117,FALSE,A06A7D89-E79D-43FD-99FE-584EC0B258BE,BRE/DOCS/DOC/TIPODOCREDUZIDO  NOVACEDULA Igual DECDSASERASA?,NULL,304,Formalização,TRADUZIR TIPO REDUZIDO - Validação de DECDSASERASA
515557934,844,2021-02-18 16:12:47.100,FALSE,A06A7D89-E79D-43FD-99FE-584EC0B258BE,BRE/DOCS/DOC/TIPODOCREDUZIDO  NOVACEDULA Igual VALRG?,NULL,304,Formalização,TRADUZIR TIPO REDUZIDO - Validação de RG
515557933,843,2021-02-18 16:12:47.083,FALSE,A06A7D89-E79D-43FD-99FE-584EC0B258BE,BRE/DOCS/DOC/TIPODOCREDUZIDO  NOVACEDULA Igual VALQUITA?,NULL,304,Formalização,TRADUZIR TIPO REDUZIDO - Validação de Quitação
515557932,842,2021-02-18 16:12:47.067,FALSE,A06A7D89-E79D-43FD-99FE-584EC0B258BE,BRE/DOCS/DOC/TIPODOCREDUZIDO  NOVACEDULA Igual VALNFE?,NULL,304,Formalização,TRADUZIR TIPO REDUZIDO - Validação NFE (Nota Fiscal Eletrônica)
515557931,841,2021-02-18 16:12:47.053,FALSE,A06A7D89-E79D-43FD-99FE-584EC0B258BE,BRE/DOCS/DOC/TIPODOCREDUZIDO  NOVACEDULA Igual VALGRAVAME?,NULL,304,Formalização,TRADUZIR TIPO REDUZIDO - Validação de Gravames
515557930,840,2021-02-18 16:12:47.037,FALSE,A06A7D89-E79D-43FD-99FE-584EC0B258BE,BRE/DOCS/DOC/TIPODOCREDUZIDO  NOVACEDULA Igual VALCPF?,NULL,304,Formalização,TRADUZIR TIPO REDUZIDO - Validação de CPF
515557929,839,2021-02-18 16:12:47.020,FALSE,A06A7D89-E79D-43FD-99FE-584EC0B258BE,BRE/DOCS/DOC/TIPODOCREDUZIDO  NOVACEDULA Igual VALCNPJ?,NULL,304,Formalização,TRADUZIR TIPO REDUZIDO - Validação de CNPJ
